dataset,model,horizon,fold_season,ratio,c_u,c_o,scope,total_cost,under_cost,over_cost,service_level,n_weeks,n_regions
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,POOLED,3:1,3,1,pooled,93902.15316692833,49941.05785068338,43961.095316244944,0.7544492544492545,198,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,POOLED,5:1,5,1,pooled,127235.86220017356,66736.15245811595,60499.7097420576,0.8164983164983165,198,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,2,POOLED,10:1,10,1,pooled,188506.67113309575,95194.1764567191,93312.49467637663,0.8826358826358827,198,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2018/19,2:1,2,1,fold,11245.75804570355,2358.839091771899,8886.918953931649,0.8066378066378066,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2018/19,3:1,3,1,fold,13864.74194140607,2637.340913448951,11227.40102795712,0.86002886002886,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2018/19,5:1,5,1,fold,16498.487076102807,2864.6665611953495,13633.820514907457,0.9134199134199135,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2018/19,10:1,10,1,fold,20765.990995827422,2931.30771908405,17834.683276743373,0.9451659451659452,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2019/20,2:1,2,1,fold,5965.754095953285,1657.9315860265635,4307.822509926722,0.8008658008658008,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2019/20,3:1,3,1,fold,7609.40137903976,1619.9190422736194,5989.48233676614,0.8585858585858586,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2019/20,5:1,5,1,fold,10427.471547741077,1410.2114890692446,9017.260058671833,0.9408369408369408,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2019/20,10:1,10,1,fold,13178.011666010225,1584.1289166029146,11593.882749407312,0.9725829725829725,33,21
